Using 2 GPU(s)
  8%|████████▍                                                                                                 | 79999/1000000 [3:19:23<50:23:36,  5.07it/s]
Step=2500 Loss=0.0000 Return=-472.29 Epsilon=0.739 FPS=3703
Step=5000 Loss=0.0000 Return=-373.05 Epsilon=0.477 FPS=3710
Step=7500 Loss=0.0000 Return=-304.46 Epsilon=0.216 FPS=3717
Step=10000 Loss=0.0000 Return=-318.52 Epsilon=0.020 FPS=3702
Step=12500 Loss=0.0000 Return=-301.47 Epsilon=0.020 FPS=3691
Step=15000 Loss=0.0000 Return=-307.05 Epsilon=0.020 FPS=3683
Step=17500 Loss=0.0000 Return=-298.63 Epsilon=0.020 FPS=3678
Step=20000 Loss=0.0000 Return=-328.20 Epsilon=0.020 FPS=3668
Step=22500 Loss=0.0005 Return=-313.89 Epsilon=0.020 FPS=2460
Step=25000 Loss=0.0007 Return=-451.19 Epsilon=0.020 FPS=1957
Step=27500 Loss=0.0457 Return=-313.65 Epsilon=0.020 FPS=1665
Step=30000 Loss=0.0009 Return=-265.99 Epsilon=0.020 FPS=1503
Step=32500 Loss=0.0878 Return=-477.59 Epsilon=0.020 FPS=1372
Step=35000 Loss=0.0052 Return=-372.38 Epsilon=0.020 FPS=1277
Step=37500 Loss=0.1088 Return=-242.32 Epsilon=0.020 FPS=1205
Step=40000 Loss=0.1221 Return=-297.83 Epsilon=0.020 FPS=1147
Step=42500 Loss=0.0019 Return=-402.76 Epsilon=0.020 FPS=1104
Step=45000 Loss=0.1443 Return=-315.57 Epsilon=0.020 FPS=1072
Step=47500 Loss=0.0028 Return=-362.64 Epsilon=0.020 FPS=1040
Step=50000 Loss=0.3362 Return=-445.42 Epsilon=0.020 FPS=1012
Step=52500 Loss=0.0019 Return=-459.61 Epsilon=0.020 FPS=988
Step=55000 Loss=0.0014 Return=-474.39 Epsilon=0.020 FPS=967
Step=57500 Loss=0.1969 Return=-356.88 Epsilon=0.020 FPS=949
Step=60000 Loss=0.0042 Return=-343.59 Epsilon=0.020 FPS=937
Step=62500 Loss=0.2256 Return=-449.41 Epsilon=0.020 FPS=923
Step=65000 Loss=0.0015 Return=-450.59 Epsilon=0.020 FPS=909
Step=67500 Loss=0.2307 Return=-318.17 Epsilon=0.020 FPS=897
Step=70000 Loss=0.2425 Return=-346.83 Epsilon=0.020 FPS=887
Step=72500 Loss=0.0034 Return=-458.79 Epsilon=0.020 FPS=878
Step=75000 Loss=0.0016 Return=-425.38 Epsilon=0.020 FPS=871
Step=77500 Loss=0.0025 Return=-321.68 Epsilon=0.020 FPS=863
Step=80000 Loss=0.5362 Return=-470.85 Epsilon=0.020 FPS=855
Step=82500 Loss=0.0052 Return=-329.89 Epsilon=0.020 FPS=848
