Using 2 GPU(s)
 16%|█████████████████                                                                                          | 79998/500000 [2:08:31<11:59:59,  9.72it/s]
Step=2500 Loss=0.0000 Return=16.80 Epsilon=0.804 FPS=4432
Step=5000 Loss=0.0000 Return=13.19 Epsilon=0.608 FPS=4476
Step=7500 Loss=0.0000 Return=11.83 Epsilon=0.412 FPS=4496
Step=10000 Loss=0.0000 Return=10.32 Epsilon=0.216 FPS=4504
Step=12500 Loss=0.0274 Return=11.10 Epsilon=0.020 FPS=2944
Step=15000 Loss=0.0113 Return=10.62 Epsilon=0.020 FPS=2403
Step=17500 Loss=0.0293 Return=10.30 Epsilon=0.020 FPS=2109
Step=20000 Loss=0.1228 Return=11.87 Epsilon=0.020 FPS=1934
Step=22500 Loss=0.2018 Return=13.91 Epsilon=0.020 FPS=1815
Step=25000 Loss=0.2794 Return=15.88 Epsilon=0.020 FPS=1724
Step=27500 Loss=0.1477 Return=73.49 Epsilon=0.020 FPS=1654
Step=30000 Loss=0.1615 Return=75.46 Epsilon=0.020 FPS=1608
Step=32500 Loss=0.0841 Return=89.84 Epsilon=0.020 FPS=1583
Step=35000 Loss=0.1218 Return=73.05 Epsilon=0.020 FPS=1545
Step=37500 Loss=0.0941 Return=74.43 Epsilon=0.020 FPS=1514
Step=40000 Loss=0.0621 Return=97.54 Epsilon=0.020 FPS=1489
Step=42500 Loss=0.0739 Return=60.20 Epsilon=0.020 FPS=1467
Step=45000 Loss=0.2651 Return=35.74 Epsilon=0.020 FPS=1448
Step=47500 Loss=0.3749 Return=21.11 Epsilon=0.020 FPS=1431
Step=50000 Loss=0.6752 Return=20.08 Epsilon=0.020 FPS=1416
Step=52500 Loss=0.5859 Return=24.41 Epsilon=0.020 FPS=1404
Step=55000 Loss=0.4879 Return=36.22 Epsilon=0.020 FPS=1398
Step=57500 Loss=0.5393 Return=31.86 Epsilon=0.020 FPS=1393
Step=60000 Loss=0.1782 Return=73.93 Epsilon=0.020 FPS=1383
Step=62500 Loss=0.1760 Return=69.67 Epsilon=0.020 FPS=1374
Step=65000 Loss=0.4535 Return=40.98 Epsilon=0.020 FPS=1365
Step=67500 Loss=0.1498 Return=54.71 Epsilon=0.020 FPS=1358
Step=70000 Loss=0.2668 Return=40.72 Epsilon=0.020 FPS=1350
Step=72500 Loss=0.2395 Return=43.21 Epsilon=0.020 FPS=1344
Step=75000 Loss=0.5902 Return=50.10 Epsilon=0.020 FPS=1338
Step=77500 Loss=0.5569 Return=64.74 Epsilon=0.020 FPS=1332
Step=80000 Loss=0.3993 Return=57.91 Epsilon=0.020 FPS=1327
Step=82500 Loss=0.3655 Return=45.40 Epsilon=0.020 FPS=1326
Step=85000 Loss=0.7916 Return=51.06 Epsilon=0.020 FPS=1324
Step=87500 Loss=0.4352 Return=37.38 Epsilon=0.020 FPS=1320
Step=90000 Loss=0.5102 Return=36.84 Epsilon=0.020 FPS=1316
Step=92500 Loss=0.5690 Return=26.33 Epsilon=0.020 FPS=1312
Step=95000 Loss=0.7934 Return=28.94 Epsilon=0.020 FPS=1308
Step=97500 Loss=0.6940 Return=24.08 Epsilon=0.020 FPS=1304
Step=100000 Loss=0.8570 Return=38.42 Epsilon=0.020 FPS=1301
Step=102500 Loss=0.6762 Return=36.39 Epsilon=0.020 FPS=1298
Step=105000 Loss=0.5805 Return=59.44 Epsilon=0.020 FPS=1295
Step=107500 Loss=1.0468 Return=27.54 Epsilon=0.020 FPS=1294
Step=110000 Loss=0.9617 Return=51.00 Epsilon=0.020 FPS=1295
Step=112500 Loss=0.1862 Return=92.58 Epsilon=0.020 FPS=1292
Step=115000 Loss=0.3205 Return=113.90 Epsilon=0.020 FPS=1289
Step=117500 Loss=0.2660 Return=127.37 Epsilon=0.020 FPS=1287
Step=120000 Loss=0.4003 Return=122.63 Epsilon=0.020 FPS=1285
Step=122500 Loss=0.4761 Return=125.24 Epsilon=0.020 FPS=1282
Step=125000 Loss=0.0765 Return=151.79 Epsilon=0.020 FPS=1280
Step=127500 Loss=0.5611 Return=90.30 Epsilon=0.020 FPS=1278
Step=130000 Loss=0.4296 Return=107.43 Epsilon=0.020 FPS=1276
Step=132500 Loss=0.2188 Return=120.63 Epsilon=0.020 FPS=1275
Step=135000 Loss=0.2957 Return=127.14 Epsilon=0.020 FPS=1276
Step=137500 Loss=0.3785 Return=130.98 Epsilon=0.020 FPS=1275
Step=140000 Loss=0.0031 Return=131.55 Epsilon=0.020 FPS=1273
Step=142500 Loss=0.2332 Return=129.45 Epsilon=0.020 FPS=1271
Step=145000 Loss=0.2384 Return=117.14 Epsilon=0.020 FPS=1270
Step=147500 Loss=0.1606 Return=141.19 Epsilon=0.020 FPS=1268
Step=150000 Loss=0.3225 Return=107.01 Epsilon=0.020 FPS=1267
Step=152500 Loss=0.3295 Return=137.11 Epsilon=0.020 FPS=1265
Step=155000 Loss=0.0855 Return=143.39 Epsilon=0.020 FPS=1264
Step=157500 Loss=0.1709 Return=148.69 Epsilon=0.020 FPS=1262
Step=160000 Loss=0.0029 Return=145.58 Epsilon=0.020 FPS=1262
Step=162500 Loss=0.2598 Return=125.30 Epsilon=0.020 FPS=1263
Step=165000 Loss=0.3499 Return=128.81 Epsilon=0.020 FPS=1262
Step=167500 Loss=0.0897 Return=151.66 Epsilon=0.020 FPS=1261
Step=170000 Loss=0.2680 Return=158.47 Epsilon=0.020 FPS=1259
Step=172500 Loss=0.5384 Return=99.20 Epsilon=0.020 FPS=1258
Step=175000 Loss=0.3646 Return=145.46 Epsilon=0.020 FPS=1257
Step=177500 Loss=0.2781 Return=139.38 Epsilon=0.020 FPS=1256
Step=180000 Loss=0.3725 Return=141.68 Epsilon=0.020 FPS=1255
Step=182500 Loss=0.3770 Return=145.81 Epsilon=0.020 FPS=1254
Step=185000 Loss=0.2867 Return=165.16 Epsilon=0.020 FPS=1253
Step=187500 Loss=0.3842 Return=141.96 Epsilon=0.020 FPS=1254
Step=190000 Loss=0.1941 Return=149.47 Epsilon=0.020 FPS=1253
Step=192500 Loss=0.1012 Return=160.58 Epsilon=0.020 FPS=1252
Step=195000 Loss=0.2958 Return=145.58 Epsilon=0.020 FPS=1251
Step=197500 Loss=0.3009 Return=156.11 Epsilon=0.020 FPS=1250
Step=200000 Loss=0.2054 Return=125.03 Epsilon=0.020 FPS=1250
Step=202500 Loss=0.4049 Return=136.08 Epsilon=0.020 FPS=1249
Step=205000 Loss=0.4109 Return=127.66 Epsilon=0.020 FPS=1248
Step=207500 Loss=0.4124 Return=126.15 Epsilon=0.020 FPS=1247
Step=210000 Loss=0.4135 Return=119.30 Epsilon=0.020 FPS=1246
Step=212500 Loss=0.4182 Return=133.10 Epsilon=0.020 FPS=1246
Step=215000 Loss=0.4239 Return=140.10 Epsilon=0.020 FPS=1247
Step=217500 Loss=0.4284 Return=130.73 Epsilon=0.020 FPS=1247
Step=220000 Loss=0.0064 Return=145.89 Epsilon=0.020 FPS=1246
Step=222500 Loss=0.5371 Return=113.45 Epsilon=0.020 FPS=1245
Step=225000 Loss=0.7589 Return=144.02 Epsilon=0.020 FPS=1244
Step=227500 Loss=0.1108 Return=140.56 Epsilon=0.020 FPS=1244
Step=230000 Loss=0.3369 Return=138.61 Epsilon=0.020 FPS=1243
Step=232500 Loss=0.6618 Return=90.65 Epsilon=0.020 FPS=1242
Step=235000 Loss=0.8830 Return=30.49 Epsilon=0.020 FPS=1242
Step=237500 Loss=1.0060 Return=72.25 Epsilon=0.020 FPS=1242
Step=240000 Loss=0.5634 Return=134.23 Epsilon=0.020 FPS=1242
Step=242500 Loss=0.1179 Return=125.52 Epsilon=0.020 FPS=1242
Step=245000 Loss=0.1217 Return=132.89 Epsilon=0.020 FPS=1241
Step=247500 Loss=0.4595 Return=126.06 Epsilon=0.020 FPS=1240
Step=250000 Loss=0.0026 Return=149.71 Epsilon=0.020 FPS=1240
Step=252500 Loss=0.7002 Return=139.32 Epsilon=0.020 FPS=1239
Step=255000 Loss=0.7022 Return=135.91 Epsilon=0.020 FPS=1239
Step=257500 Loss=0.4701 Return=152.58 Epsilon=0.020 FPS=1238
Step=260000 Loss=0.2405 Return=127.72 Epsilon=0.020 FPS=1238
Step=262500 Loss=0.7135 Return=143.41 Epsilon=0.020 FPS=1237
Step=265000 Loss=0.7189 Return=78.38 Epsilon=0.020 FPS=1237
Step=267500 Loss=1.2045 Return=37.72 Epsilon=0.020 FPS=1238
Step=270000 Loss=1.0863 Return=44.24 Epsilon=0.020 FPS=1237
Step=272500 Loss=0.7309 Return=67.60 Epsilon=0.020 FPS=1237
Step=275000 Loss=0.3699 Return=113.40 Epsilon=0.020 FPS=1236
Step=277500 Loss=0.4993 Return=125.83 Epsilon=0.020 FPS=1236
Step=280000 Loss=0.6233 Return=115.47 Epsilon=0.020 FPS=1235
Step=282500 Loss=0.7473 Return=121.49 Epsilon=0.020 FPS=1235
Step=285000 Loss=0.5115 Return=111.62 Epsilon=0.020 FPS=1234
Step=287500 Loss=0.7618 Return=120.44 Epsilon=0.020 FPS=1234
Step=290000 Loss=0.3816 Return=148.24 Epsilon=0.020 FPS=1235
Step=292500 Loss=0.3859 Return=158.43 Epsilon=0.020 FPS=1235
Step=295000 Loss=0.6447 Return=121.04 Epsilon=0.020 FPS=1234
Step=297500 Loss=0.0048 Return=127.23 Epsilon=0.020 FPS=1234
Step=300000 Loss=0.2613 Return=139.66 Epsilon=0.020 FPS=1233
Step=302500 Loss=0.7819 Return=143.53 Epsilon=0.020 FPS=1233
Step=305000 Loss=0.5257 Return=118.13 Epsilon=0.020 FPS=1232
Step=307500 Loss=0.6611 Return=99.41 Epsilon=0.020 FPS=1232
Step=310000 Loss=0.3990 Return=124.17 Epsilon=0.020 FPS=1232
Step=312500 Loss=0.0048 Return=140.21 Epsilon=0.020 FPS=1231
Step=315000 Loss=0.2686 Return=128.02 Epsilon=0.020 FPS=1231
Step=317500 Loss=0.8020 Return=142.37 Epsilon=0.020 FPS=1231
Step=320000 Loss=0.2720 Return=101.05 Epsilon=0.020 FPS=1231
Step=322500 Loss=0.6773 Return=105.46 Epsilon=0.020 FPS=1231
Step=325000 Loss=0.5436 Return=80.51 Epsilon=0.020 FPS=1231
Step=327500 Loss=0.4129 Return=131.08 Epsilon=0.020 FPS=1230
Step=330000 Loss=0.5509 Return=121.16 Epsilon=0.020 FPS=1230
Step=332500 Loss=0.8304 Return=95.21 Epsilon=0.020 FPS=1230
Step=335000 Loss=0.1404 Return=98.14 Epsilon=0.020 FPS=1229
Step=337500 Loss=0.0081 Return=90.69 Epsilon=0.020 FPS=1229
Step=340000 Loss=0.9751 Return=94.26 Epsilon=0.020 FPS=1229
Step=342500 Loss=0.8349 Return=72.78 Epsilon=0.020 FPS=1230
Step=345000 Loss=1.1132 Return=36.38 Epsilon=0.020 FPS=1229
Step=347500 Loss=0.5641 Return=132.11 Epsilon=0.020 FPS=1229
Step=350000 Loss=1.1252 Return=135.75 Epsilon=0.020 FPS=1229
Step=352500 Loss=0.4313 Return=95.09 Epsilon=0.020 FPS=1228
Step=355000 Loss=1.1362 Return=142.60 Epsilon=0.020 FPS=1228
Step=357500 Loss=0.4311 Return=125.21 Epsilon=0.020 FPS=1228
Step=360000 Loss=0.7177 Return=108.45 Epsilon=0.020 FPS=1227
Step=362500 Loss=0.2902 Return=139.37 Epsilon=0.020 FPS=1227
Step=365000 Loss=0.4293 Return=185.62 Epsilon=0.020 FPS=1227
Step=367500 Loss=1.1524 Return=117.96 Epsilon=0.020 FPS=1226
Step=370000 Loss=0.8646 Return=129.96 Epsilon=0.020 FPS=1226
