Using 2 GPU(s)
 80%|███████████████████████████████████████████████████████████████████████████████████████▉                      | 79999/100000 [2:20:45<36:22,  9.17it/s]
Step=2500 Loss=0.0246 Return=22.40 Epsilon=0.976 FPS=233
Step=5000 Loss=0.0494 Return=22.06 Epsilon=0.953 FPS=191
Step=7500 Loss=0.0628 Return=24.06 Epsilon=0.929 FPS=172
Step=10000 Loss=0.0771 Return=25.44 Epsilon=0.905 FPS=165
Step=12500 Loss=0.2077 Return=23.82 Epsilon=0.881 FPS=160
Step=15000 Loss=0.1457 Return=26.24 Epsilon=0.858 FPS=158
Step=17500 Loss=0.1668 Return=25.77 Epsilon=0.834 FPS=156
Step=20000 Loss=0.1995 Return=31.16 Epsilon=0.810 FPS=155
Step=22500 Loss=0.4371 Return=35.55 Epsilon=0.786 FPS=156
Step=25000 Loss=0.0095 Return=41.86 Epsilon=0.762 FPS=155
Step=27500 Loss=0.4957 Return=44.70 Epsilon=0.739 FPS=155
Step=30000 Loss=0.0874 Return=44.98 Epsilon=0.715 FPS=154
Step=32500 Loss=0.2627 Return=48.45 Epsilon=0.691 FPS=153
Step=35000 Loss=0.1977 Return=53.06 Epsilon=0.667 FPS=153
Step=37500 Loss=0.4151 Return=63.39 Epsilon=0.644 FPS=152
Step=40000 Loss=0.4373 Return=60.73 Epsilon=0.620 FPS=152
Step=42500 Loss=0.1220 Return=65.13 Epsilon=0.596 FPS=152
Step=45000 Loss=0.0107 Return=67.36 Epsilon=0.573 FPS=151
Step=47500 Loss=0.0143 Return=70.26 Epsilon=0.549 FPS=151
Step=50000 Loss=0.5475 Return=81.17 Epsilon=0.525 FPS=151
Step=52500 Loss=0.1500 Return=67.55 Epsilon=0.501 FPS=151
Step=55000 Loss=0.0025 Return=81.27 Epsilon=0.478 FPS=151
Step=57500 Loss=0.0077 Return=79.48 Epsilon=0.454 FPS=152
Step=60000 Loss=0.4900 Return=88.68 Epsilon=0.430 FPS=152
Step=62500 Loss=0.3537 Return=67.30 Epsilon=0.406 FPS=151
Step=65000 Loss=0.0028 Return=68.73 Epsilon=0.383 FPS=151
Step=67500 Loss=0.5532 Return=80.36 Epsilon=0.359 FPS=151
Step=70000 Loss=0.3859 Return=82.76 Epsilon=0.335 FPS=151
Step=72500 Loss=0.4019 Return=96.12 Epsilon=0.311 FPS=151
Step=75000 Loss=0.6128 Return=92.26 Epsilon=0.288 FPS=151
Step=77500 Loss=0.2113 Return=82.43 Epsilon=0.264 FPS=151
Step=80000 Loss=0.2180 Return=111.51 Epsilon=0.240 FPS=151
Step=82500 Loss=0.2373 Return=104.59 Epsilon=0.216 FPS=151
Step=85000 Loss=0.0037 Return=115.48 Epsilon=0.193 FPS=151
Step=87500 Loss=0.9521 Return=96.01 Epsilon=0.169 FPS=151
Step=90000 Loss=0.2455 Return=111.82 Epsilon=0.145 FPS=151
Step=92500 Loss=0.2551 Return=122.05 Epsilon=0.121 FPS=150
Step=95000 Loss=0.0020 Return=114.04 Epsilon=0.098 FPS=150
Step=97500 Loss=1.0546 Return=109.00 Epsilon=0.074 FPS=150
Step=100000 Loss=0.5412 Return=112.98 Epsilon=0.050 FPS=150
